Comment,Designator,Footprint,JLCPCB Part #
470R 0805 1%,R1,R0805,C17710
330k 0805 1%,R2,R0805,C17629
10k 0805 1%,R3,R0805,C17414
47k 0805 1%,"R4,R10,R11",R0805,C17713
6.8k 0805 1%,"R5,R9",R0805,C17772
1k 0805 1%,R7,R0805,C17513
130k 0805 1%,R8,R0805,C2933305
10uF 16V X7R 1206,"C1,C7",C1206,C342827
1nF 50V 0805,C5,C0805,C46653
22uF 16V X7R 1206,C8,C1206,C5252682
10uF 25V X7R 1206,C9,C1206,C6119987
BZX84C3V3 zener,D1,SOT-23,C19077467
SS34 schottky,D2,SMA/DO-214AC,C8678
HT7550-1 LDO,U1,SOT-89,C16106
MT3608 boost,U2,SOT-23-6,C84817
22uH 2.4A shielded,L1,SRN6045 6x6mm,C2849539
6x6 SMD tactile 2-pin,SW1,1TS009 6x6mm,C319428
JST S4B-XH-SM4-TB right-angle SMT 4p (pin4=GND),"PANEL,DRIVER",JST_XH_SM4_1x04_RA,C161861
