Designator,Mid X,Mid Y,Layer,Rotation
C1,27.025,-8.0,Top,0.0
C5,53.4736,-36.45,Top,90.0
C7,40.525,-29.0,Top,0.0
C8,93.525,-32.0,Top,0.0
C9,95.0,-24.525,Top,270.0
D1,47.0,-4.5625,Top,270.0
D2,96.0,-10.0,Top,90.0
DRIVER,74.0,-34.0,Top,0.0
L1,72.0,-6.075,Top,90.0
PANEL,13.5,-34.0,Top,0.0
R1,18.0875,-5.0,Top,0.0
R10,84.5875,-31.0,Top,0.0
R11,72.5875,-20.5,Top,0.0
R2,32.36,-3.4,Top,0.0
R3,38.5,-3.4125,Top,90.0
R4,48.4736,-36.45,Top,90.0
R5,50.9736,-36.45,Top,90.0
R7,31.0,-29.3704,Top,90.0
R8,77.9125,-24.0,Top,0.0
R9,71.9125,-13.5,Top,0.0
RECVR,34.5,-36.5,Top,90.0
SW1,10.4762,-5.0,Top,0.0
U1,51.0,-31.327,Top,180.0
U2,84.1375,-18.95,Top,0.0
