ts,run,look,feed,rep,lux_med,lux_min,lux_max,raw_med,sat,dark_lux,bv,sv,sma,soc
2026-07-11T20:37:12,1,w_only,A_rail,0,308.3,308.3,308.3,669,0,0.0,3.315,0.00,0,88
2026-07-11T20:37:17,1,w_only,B_vbat,1,366.8,366.8,366.8,796,0,0.0,3.312,0.00,0,88
2026-07-11T20:37:22,1,w_only,B_vbat,2,366.8,366.3,366.8,796,0,0.0,3.313,0.00,0,88
2026-07-11T20:37:26,1,w_only,A_rail,3,307.8,307.8,307.8,668,0,0.0,3.312,0.00,0,88
2026-07-11T20:37:34,1,red,A_rail,0,267.7,267.7,268.2,581,0,0.0,3.308,0.00,0,88
2026-07-11T20:37:39,1,red,B_vbat,1,297.7,297.2,298.1,646,0,0.0,3.315,0.00,0,88
2026-07-11T20:37:44,1,red,B_vbat,2,296.8,296.3,297.2,644,0,0.0,3.315,0.00,0,88
2026-07-11T20:37:50,1,red,A_rail,3,266.8,266.3,267.3,579,0,0.0,3.314,0.00,0,88
2026-07-11T20:37:57,1,green,A_rail,0,632.2,632.2,632.2,1372,0,0.0,3.310,0.00,0,87
2026-07-11T20:38:01,1,green,B_vbat,1,759.9,759.9,759.9,1649,0,0.0,3.311,0.00,0,87
2026-07-11T20:38:06,1,green,B_vbat,2,759.9,759.4,759.9,1649,0,0.0,3.311,0.00,0,87
2026-07-11T20:38:11,1,green,A_rail,3,630.8,630.8,630.8,1369,0,0.0,3.311,0.00,0,87
2026-07-11T20:38:18,1,blue,A_rail,0,179.3,179.3,179.3,389,0,0.0,3.315,0.00,0,87
2026-07-11T20:38:23,1,blue,B_vbat,1,259.9,259.9,259.9,564,0,0.0,3.315,0.00,0,87
2026-07-11T20:38:27,1,blue,B_vbat,2,259.9,259.4,259.9,564,0,0.0,3.315,0.00,0,87
2026-07-11T20:38:32,1,blue,A_rail,3,179.3,178.8,179.3,389,0,0.0,3.315,0.00,0,87
2026-07-11T20:38:39,1,rgb_white,A_rail,0,1008.2,1007.8,1008.7,2188,0,0.0,3.299,0.00,0,87
2026-07-11T20:38:46,1,rgb_white,B_vbat,1,1172.7,1172.3,1173.7,2545,0,0.0,3.303,0.00,0,87
2026-07-11T20:38:50,1,rgb_white,B_vbat,2,1171.4,1171.4,1171.8,2542,0,0.0,3.315,0.00,0,87
2026-07-11T20:38:56,1,rgb_white,A_rail,3,1006.4,1005.9,1007.3,2184,0,0.0,3.299,0.00,0,87
2026-07-11T20:47:27,2,w_only,A_rail,0,312.4,312.4,312.4,678,0,0.0,3.317,0.02,0,84
2026-07-11T20:47:33,2,w_only,B_vbat,1,329.9,329.0,329.9,716,0,0.0,3.316,0.02,0,84
2026-07-11T20:47:38,2,w_only,B_vbat,2,329.9,329.9,329.9,716,0,0.0,3.314,0.02,0,84
2026-07-11T20:47:43,2,w_only,A_rail,3,312.4,312.4,312.4,678,0,0.0,3.309,0.01,0,84
2026-07-11T20:47:50,2,red,A_rail,0,269.1,269.1,269.1,584,0,0.0,3.311,0.00,0,84
