afk_sweep -> /home/ben/PycharmProjects/resonance-lighting/ops/bench/data/ca/2026-06-10-afk-sweep-0031.jsonl
patterns=['RGB', 'W', 'RGBW'] gammas=[0, 1] levels=[0, 16, 32, 48, 64, 96, 128, 160, 192, 224, 255]
floor=2.9 V  max=120.0 min
start: battery_v=3.194 soc=33 supply_v=0.02

cyc g  pat  lvl  LED_mA battINA gauge_mA    bv soc mAh_ina  mAh_g
  1 0  RGB    0    -3.5  -120.1 -141.875 3.191  33     0.1    0.2
  1 0  RGB   16    16.9  -138.0 -128.594 3.191  33     0.3    0.3
  1 0  RGB   32    32.3  -156.6 -140.547 3.194  33     0.5    0.5
  1 0  RGB   48    48.1  -174.7 -129.141 3.192  33     0.7    0.6
  1 0  RGB   64    63.9  -192.2 -266.797 3.153  33     0.9    0.9
  1 0  RGB   96    95.4  -229.1 -178.906 3.148  33     1.1    1.1
  1 0  RGB  128   126.5  -264.8 -277.109 3.118  33     1.4    1.4
  1 0  RGB  160   158.0  -301.6 -339.844 3.063  33     1.8    1.8
  1 0  RGB  192   189.2  -337.9 -376.094 3.024  32     2.1    2.2
  1 0  RGB  224   221.0  -374.6 -453.438 3.012  32     2.5    2.7
  1 0  RGB  255   254.1  -413.9 -448.359 3.012  32     3.0    3.2
  1 0    W    0    -4.3  -120.7 -136.797 3.186  32     3.1    3.4
  1 0    W   16     2.3  -124.6 -140.234  3.18  32     3.3    3.5
  1 0    W   32     6.6  -129.8 -127.812 3.193  32     3.4    3.7
  1 0    W   48    11.7  -133.9 -129.922  3.19  32     3.6    3.8
  1 0    W   64    15.3  -138.4  -148.75 3.171  32     3.7    4.0
  1 0    W   96    23.8  -147.8 -130.234 3.186  32     3.9    4.1
  1 0    W  128    31.9  -156.8 -206.719 3.181  32     4.1    4.3
  1 0    W  160    40.4  -166.2 -144.219 3.188  32     4.3    4.5
  1 0    W  192    49.1  -175.3 -192.656 3.158  32     4.4    4.7
  1 0    W  224    58.0  -184.5 -179.141  3.16  32     4.7    4.9
  1 0    W  255    66.4  -193.8 -217.266 3.146  32     4.9    5.2
  1 0 RGBW    0    -5.4  -120.7 -128.125 3.193  32     5.0    5.3
  1 0 RGBW   16    18.7  -141.0 -127.812 3.193  32     5.2    5.5
  1 0 RGBW   32    36.5  -161.6 -211.172 3.162  32     5.3    5.7
  1 0 RGBW   48    54.2  -182.8 -299.375 3.107  32     5.6    6.0
  1 0 RGBW   64    72.0  -203.7 -278.438  3.14  32     5.8    6.3
  1 0 RGBW   96   107.4  -246.2  -441.25 2.995  32     6.1    6.8
