# fixture_id,F3FD7C
# firmware,net-bench-2026-08-06.4
# capture_id,2
# pulse_ms,8
# requested_conversion_hz,80000
# vsns_sample_hz,40318.594
# d7s_sample_hz,40318.594
# radio_quiet,true
t_ms,bank_v,vsns_mv,d7s_mv,gate_command
-10.3178,12.2844,3048,0,0
-10.2930,12.2441,3038,0,0
-10.2682,12.3005,3052,0,0
-10.2434,12.3085,3054,0,0
-10.2186,12.2763,3046,0,0
-10.1938,12.3045,3053,0,0
-10.1690,12.2199,3032,0,0
-10.1442,12.3206,3057,0,0
-10.1194,12.2521,3040,0,0
-10.0946,12.2441,3038,0,0
-10.0698,12.3206,3057,0,0
-10.0450,12.3126,3055,0,0
-10.0202,12.2844,3048,0,0
-9.9954,12.2803,3047,0,0
-9.9706,12.2924,3050,0,0
-9.9458,12.2602,3042,0,0
-9.9210,12.3287,3059,0,0
-9.8962,12.2682,3044,0,0
-9.8714,12.2844,3048,0,0
-9.8466,12.3206,3057,0,0
-9.8218,12.2844,3048,0,0
-9.7970,12.2924,3050,0,0
-9.7722,12.2803,3047,0,0
-9.7474,12.3206,3057,0,0
-9.7226,12.2803,3047,0,0
-9.6978,12.3206,3057,0,0
-9.6730,12.2682,3044,0,0
-9.6482,12.2844,3048,0,0
-9.6234,12.3166,3056,0,0
-9.5985,12.2602,3042,0,0
-9.5737,12.2481,3039,0,0
-9.5489,12.3327,3060,0,0
-9.5241,12.2803,3047,0,0
-9.4993,12.2844,3048,0,0
-9.4745,12.2924,3050,0,0
-9.4497,12.3287,3059,0,0
-9.4249,12.2844,3048,0,0
-9.4001,12.2481,3039,0,0
-9.3753,12.2521,3040,0,0
-9.3505,12.2803,3047,0,0
-9.3257,12.2803,3047,0,0
-9.3009,12.2844,3048,0,0
-9.2761,12.3005,3052,0,0
-9.2513,12.3408,3062,0,0
-9.2265,12.2844,3048,0,0
-9.2017,12.2602,3042,0,0
-9.1769,12.2602,3042,0,0
-9.1521,12.3166,3056,0,0
-9.1273,12.2844,3048,0,0
-9.1025,12.2844,3048,0,0
-9.0777,12.2723,3045,0,0
-9.0529,12.2763,3046,0,0
-9.0281,12.3085,3054,0,0
-9.0033,12.3126,3055,0,0
-8.9785,12.2803,3047,0,0
-8.9537,12.2924,3050,0,0
-8.9289,12.2521,3040,0,0
-8.9041,12.2844,3048,0,0
-8.8793,12.2965,3051,0,0
-8.8545,12.3529,3065,0,0
-8.8297,12.2844,3048,0,0
-8.8049,12.2924,3050,0,0
-8.7801,12.2924,3050,0,0
-8.7553,12.2803,3047,0,0
-8.7305,12.3085,3054,0,0
-8.7057,12.2521,3040,0,0
-8.6809,12.2602,3042,0,0
-8.6561,12.3126,3055,0,0
-8.6313,12.3247,3058,0,0
-8.6065,12.3851,3073,0,0
-8.5816,12.2844,3048,0,0
-8.5568,12.3126,3055,0,0
-8.5320,12.2682,3044,0,0
-8.5072,12.2924,3050,0,0
-8.4824,12.2763,3046,0,0
-8.4576,12.3126,3055,0,0
-8.4328,12.2844,3048,0,0
-8.4080,12.2602,3042,0,0
-8.3832,12.2602,3042,0,0
-8.3584,12.3529,3065,0,0
-8.3336,12.3206,3057,0,0
-8.3088,12.2360,3036,0,0
-8.2840,12.2521,3040,0,0
-8.2592,12.3569,3066,0,0
-8.2344,12.2803,3047,0,0
-8.2096,12.2844,3048,0,0
-8.1848,12.2682,3044,0,0
-8.1600,12.3085,3054,0,0
-8.1352,12.2763,3046,0,0
-8.1104,12.2682,3044,0,0
-8.0856,12.2844,3048,0,0
-8.0608,12.3287,3059,0,0
-8.0360,12.2965,3051,0,0
-8.0112,12.2924,3050,0,0
-7.9864,12.3166,3056,0,0
-7.9616,12.3287,3059,0,0
-7.9368,12.3085,3054,0,0
-7.9120,12.3166,3056,0,0
-7.8872,12.2481,3039,0,0
-7.8624,12.3488,3064,0,0
-7.8376,12.2844,3048,0,0
-7.8128,12.2763,3046,0,0
-7.7880,12.2803,3047,0,0
-7.7632,12.3488,3064,0,0
-7.7384,12.2763,3046,0,0
-7.7136,12.2844,3048,0,0
-7.6888,12.2803,3047,0,0
-7.6640,12.2924,3050,0,0
-7.6392,12.3166,3056,0,0
-7.6144,12.2803,3047,0,0
-7.5896,12.2360,3036,0,0
-7.5647,12.3327,3060,0,0
-7.5399,12.2803,3047,0,0
-7.5151,12.3206,3057,0,0
-7.4903,12.2763,3046,0,0
-7.4655,12.1997,3027,0,0
-7.4407,12.3126,3055,0,0
-7.4159,12.2803,3047,0,0
-7.3911,12.2602,3042,0,0
-7.3663,12.2924,3050,0,0
-7.3415,12.3448,3063,0,0
-7.3167,12.3126,3055,0,0
-7.2919,12.3085,3054,0,0
-7.2671,12.2521,3040,0,0
-7.2423,12.3488,3064,0,0
-7.2175,12.3085,3054,0,0
-7.1927,12.2521,3040,0,0
-7.1679,12.2682,3044,0,0
-7.1431,12.3287,3059,0,0
-7.1183,12.3085,3054,0,0
-7.0935,12.2723,3045,0,0
-7.0687,12.2521,3040,0,0
-7.0439,12.2844,3048,0,0
-7.0191,12.3206,3057,0,0
-6.9943,12.2723,3045,0,0
-6.9695,12.2521,3040,0,0
-6.9447,12.3327,3060,0,0
-6.9199,12.2844,3048,0,0
-6.8951,12.2521,3040,0,0
