fixture_id,callsign,assignment,category
9D7884,Daxter,assigned,game
9E5954,Absol,assigned,pokemon
9E5A58,Murkrow,assigned,pokemon
9E5A5C,Yuna,assigned,game
9E5A70,Snivy,assigned,pokemon
9E5A74,Ahsoka,assigned,pop
9E5A84,Panther,assigned,pop
9E5A88,Logan,assigned,pop
9E5A94,Venom,assigned,pop
9E5A9C,Scyther,assigned,pokemon
9E5AB0,Togepi,assigned,pokemon
9E5AC8,Gastly,assigned,pokemon
9E5AD4,Loki,assigned,pop
9E5AD8,Shulk,assigned,game
9E5AE0,Ralts,assigned,pokemon
9E5AE4,Blade,assigned,pop
9E5AF4,Uhura,assigned,pop
9E5B00,Drax,assigned,pop
9E5B04,Torchic,assigned,pokemon
9E5B10,Revali,assigned,game
9E5B14,Falcon,assigned,pop
9E5B18,Froakie,assigned,pokemon
9E5B34,Gible,assigned,pokemon
9E5B48,Sackboy,assigned,game
9E5B5C,Mipha,assigned,game
9E5B68,Piplup,assigned,pokemon
9E5B8C,Bowser,assigned,game
9E5B98,Shuri,assigned,pop
9E668C,Akuma,assigned,game
9F0E30,Wooper,assigned,pokemon
9F0E4C,Yuffie,assigned,game
9F0E54,Eevee,assigned,pokemon
9F0E5C,Tangela,assigned,pokemon
9F0E7C,Navi,assigned,game
9F2638,Lucas,assigned,game
9F2648,Cubone,assigned,pokemon
9F2664,Hawkeye,assigned,pop
9F266C,Meowth,assigned,pokemon
9F2678,Seviper,assigned,pokemon
9F2680,Buizel,assigned,pokemon
9F2684,Mudkip,assigned,pokemon
9F2688,Megaman,assigned,game
9F2694,Mewtwo,assigned,pokemon
9F26A4,Litwick,assigned,pokemon
9F26AC,Tauros,assigned,pokemon
9F26B0,Rikku,assigned,game
9F26B4,Kairi,assigned,game
9F26BC,Pinsir,assigned,pokemon
9F26C0,Zorua,assigned,pokemon
9F26C4,Hellboy,assigned,pop
9F26D0,Auron,assigned,game
9F26D4,Hulk,assigned,pop
9F26E4,Grogu,assigned,pop
9F26E8,Tifa,assigned,game
