fixture_id,mac,board,chip_revision,flash_mb,psram_mb,status,firmware_rev,firmware_sha256,battery_chemistry,battery_capacity_mah,charge_limit_ma,ota_profile,ota_verified,role,install_location,first_seen_utc,last_verified_utc,notes
4D5DB0,80:45:6B:4D:5D:B0,CoreS3,,,,enumerated,cores3-os-0.1.0-dev,01F99A5167C5DE01C6FC75BD5781F4F8AB337D2095B3870122858909B206EE12,,,,,false,serial_bridge,desk bridge,2026-08-16T08:05:23Z,2026-08-26T04:37:15Z,Bridge OS Module Audio runtime Ambient/Aux selector USB-verified on observed COM43; never commission as a fixture
9D7884,D8:85:AC:9D:78:84,PowerFeather V2,0.2,8,2,commissioned,fx-260816-prtrel1-b,6305E9713CE1DD3FDDD37C66FEF4FAB84FB1D6782AEBD8723BB12E989243297E,Generic_LFP,6000,2000,Party In The Woods,true,,,2026-08-16T18:42:56Z,2026-08-16T18:43:26Z,Unassigned; likely inner-ring canopy/downlight candidate; 6 Ah provisional (set 15 Ah if large enclosure); class_ovr=0 AUTO
9E5954,D8:85:AC:9E:59:54,PowerFeather V2,0.2,8,2,commissioned,fx-260818-f80f315-b,0F1119C6BA80F2280DB2C04F478A59B6BE0C407EDF6C95C62248F89AF90AD638,Generic_LFP,15000,2000,BubbyNet,true,downlight,,2026-08-16T19:30:26Z,2026-08-18T02:57:20Z,Battery-installed USB commissioning passed; Exact fx-260818-05ed4b3-b OTA A/B verify passed 2026-08-18; fresh revision heartbeat survived the 20 s pending-verify gate; Exact fx-260818-f80f315-b OTA A/B verify passed 2026-08-18
9E5A58,D8:85:AC:9E:5A:58,PowerFeather V2,0.2,8,2,commissioned,fx-260818-f80f315-b,0F1119C6BA80F2280DB2C04F478A59B6BE0C407EDF6C95C62248F89AF90AD638,Generic_LFP,6000,2000,Party In The Woods,true,,,2026-08-16T20:16:54Z,2026-08-18T03:10:21Z,Unassigned; tentative canopy/downlight or extra; 6 Ah provisional (set 15 Ah if large enclosure); class_ovr=0 AUTO; Exact fx-260818-05ed4b3-b OTA A/B verify passed 2026-08-18; fresh revision heartbeat survived the 20 s pending-verify gate; Exact fx-260818-f80f315-b OTA A/B verify passed 2026-08-18
9E5A5C,D8:85:AC:9E:5A:5C,PowerFeather V2,0.2,8,2,commissioned,fx-260818-f80f315-b,0F1119C6BA80F2280DB2C04F478A59B6BE0C407EDF6C95C62248F89AF90AD638,Generic_LFP,15000,2000,Party In The Woods,true,downlight,,2026-08-16T06:36:29Z,2026-08-18T02:57:20Z,Added from live fleet evidence; TMF8820 signature confirms canopy; exact fx-260818-05ed4b3-b OTA A/B verify passed 2026-08-18; fresh revision heartbeat survived the 20 s pending-verify gate; Exact fx-260818-f80f315-b OTA A/B verify passed 2026-08-18
9E5A70,D8:85:AC:9E:5A:70,PowerFeather V2,0.2,8,2,commissioned,fx-260818-926d4c2-t,CF048F95E036488ABBC6CF64D9B77E1224796CC79D74C76513B6CDCF1EA615EE,Generic_LFP,6000,2000,,false,chandelier_tester,Jimmy handoff,2026-08-16T18:42:56Z,2026-08-18T04:57:09Z,Standalone 9-RGB chandelier demo on GPIO10/switchable 3V3; targeted test only; exact boot and serial rail off/on passed bare USB; no OTA/mesh; restore fleet image before reallocation
9E5A74,D8:85:AC:9E:5A:74,PowerFeather V2,0.2,8,2,commissioned,fx-260818-f80f315-b,0F1119C6BA80F2280DB2C04F478A59B6BE0C407EDF6C95C62248F89AF90AD638,Generic_LFP,,2000,Party In The Woods,true,,,2026-08-16T23:39:23Z,2026-08-18T03:10:21Z,Discovered live during universal rollout; prior assignment and capacity not yet reconciled; exact revision survived A/B verify; Exact fx-260818-f80f315-b OTA A/B verify passed 2026-08-18
9E5A84,D8:85:AC:9E:5A:84,PowerFeather V2,0.2,8,2,commissioned,fx-260818-f80f315-b,0F1119C6BA80F2280DB2C04F478A59B6BE0C407EDF6C95C62248F89AF90AD638,Generic_LFP,15000,2000,Party In The Woods,true,downlight,outer hanging ring - position TBD,2026-08-09T02:31:04Z,2026-08-25T20:46:22Z,Replacement LFP installed; exact manifest-verified app-only USB rescue preserved the already validated bootloader/partition/NVS; 15 Ah capacity restored; Party endpoint identity/resume and channel-11 ESP-NOW rejoin passed; MSA311/TMF8820/BMP581 healthy; FULL guard; no BQ fault
9E5A88,D8:85:AC:9E:5A:88,PowerFeather V2,0.2,8,2,commissioned,fx-260829-b0ff5db-b,276D6558116A40DA15F32ECCF6BC7A940EF6D827BA965DDB81A8A8F5B0E27AE0,Generic_LFP,15000,2000,Party In The Woods,true,downlight,,2026-08-16T23:39:23Z,2026-08-29T16:48:28Z,Discovered live during universal rollout after low-VBAT recovery; exact fx-260829-b0ff5db-b USB canary passed a real 12 s timer-wake boundary and sustained full-battery PROTECT release; 15 Ah capacity confirmed by Ben; MSA311/TMF8820 and shared-WiFi endpoint verified
9E5A94,D8:85:AC:9E:5A:94,PowerFeather V2,0.2,8,2,commissioned,fx-260818-f80f315-b,0F1119C6BA80F2280DB2C04F478A59B6BE0C407EDF6C95C62248F89AF90AD638,Generic_LFP,15000,2000,Party In The Woods,true,downlight,outer hanging ring - position TBD,2026-08-09T00:33:18Z,2026-08-18T03:04:52Z,Battery-installed USB commissioning passed; shared-WiFi OTA endpoint verified; Exact fx-260818-f80f315-b OTA A/B verify passed 2026-08-18
9E5A9C,D8:85:AC:9E:5A:9C,PowerFeather V2,0.2,8,2,commissioned,fx-260816-prtrel1-b,6305E9713CE1DD3FDDD37C66FEF4FAB84FB1D6782AEBD8723BB12E989243297E,Generic_LFP,6000,2000,Party In The Woods,true,,,2026-08-16T19:30:26Z,2026-08-16T19:31:09Z,Unassigned; tentative canopy/downlight or extra; 6 Ah provisional (set 15 Ah if large enclosure); class_ovr=0 AUTO
9E5AA0,D8:85:AC:9E:5A:A0,PowerFeather V2,0.2,8,2,quarantined,fx-260816-prtrel1-b,6305E9713CE1DD3FDDD37C66FEF4FAB84FB1D6782AEBD8723BB12E989243297E,Generic_LFP,6000,2000,Party In The Woods,false,,,2026-08-16T19:30:26Z,2026-08-19T20:02:09Z,DO NOT INSTALL BATTERY - member of uncertain reversed-LFP cohort with observed smoke; USB and existing firmware still run but reverse exposure cannot be excluded; retire/e-waste; prior (main 08-16): Unassigned; tentative canopy/downlight or extra; 6 Ah provisional (set 15 Ah if large enclosure); class_ovr=0 AUTO
