fixture_id,fixture_type,roster_scope
9D7884,perimeter,site
9E5954,canopy,site
9E5A58,canopy,site
9E5A5C,canopy,site
9E5A74,canopy,site
9E5A84,canopy,site
9E5A88,canopy,site
9E5A94,canopy,site
9E5AB0,uplight,site
9E5AC8,canopy,site
9E5AD4,canopy,site
9E5AE0,canopy,site
9E5AE4,canopy,site
9E5B04,canopy,site
9E5B10,canopy,site
9E5B14,canopy,site
9E5B18,canopy,site
9E5B34,canopy,site
9E5B44,canopy,site
9E5B48,canopy,site
9E5B5C,uplight,site
9E5B68,canopy,site
9E5B8C,canopy,site
9E668C,canopy,site
9F0E30,canopy,site
9F0E4C,uplight,camp
9F0E54,canopy,site
9F0E5C,canopy,site
9F0E7C,canopy,site
9F2638,canopy,site
9F2648,uplight,site
9F2664,canopy,site
9F266C,canopy,site
9F2680,canopy,site
9F2694,uplight,site
9F26AC,canopy,site
9F26B0,canopy,site
9F26B4,perimeter,site
9F26BC,canopy,site
9F26C0,canopy,site
9F26C4,canopy,site
9F26D4,canopy,site
9F26D8,canopy,site
9F26E4,canopy,site
9F26E8,canopy,site
9F2714,canopy,site
9F2718,canopy,site
9F2720,canopy,site
9F2724,canopy,site
9F2738,canopy,site
9F275C,canopy,site
F2B7DC,canopy,site
F2B900,perimeter,site
F2BCF0,perimeter,site
F2BCF4,perimeter,site
F2BD00,uplight,site
F2BDB0,canopy,site
F2BDB4,canopy,site
F2BDC4,perimeter,site
F2BDD4,perimeter,site
F2BDFC,perimeter,site
F2BE08,canopy,site
F2BE0C,canopy,site
F2BE10,uplight,site
F2BE1C,uplight,site
F2BE20,canopy,site
F2BE38,canopy,site
F2BE3C,uplight,site
F2BE48,canopy,site
F2BE60,canopy,site
F2BE6C,uplight,site
F2BE70,perimeter,site
F2BE8C,canopy,repair
F2BE94,canopy,site
F2BEA4,canopy,site
F2BEB4,uplight,site
F2BEE4,canopy,site
F2BEF4,uplight,camp
F2BF54,canopy,site
F2BF5C,canopy,site
F2BF60,perimeter,site
F2BF74,perimeter,site
F2BF7C,perimeter,site
F2BF8C,canopy,site
F2BF90,uplight,site
F2BFE0,perimeter,site
F3FC8C,uplight,camp
F3FC90,canopy,site
F3FC9C,uplight,site
F3FCAC,perimeter,site
F3FD28,perimeter,site
F3FD50,uplight,camp
F3FD60,canopy,site
F3FD88,perimeter,site
F40174,canopy,site
F4019C,uplight,site
F401A8,canopy,site
F401CC,uplight,site
F401DC,perimeter,site
F40254,canopy,site
F40268,canopy,site
F402A8,perimeter,site
F402B8,uplight,site
F402C4,canopy,site
F40308,perimeter,site
F40310,uplight,site
F40314,perimeter,site
F4031C,canopy,repair
F40348,perimeter,site
F40350,canopy,site
F4035C,perimeter,site
F40364,canopy,site
F40384,canopy,site
F403DC,perimeter,site
F403F0,canopy,site
F40424,canopy,repair
F4042C,canopy,site
F4043C,perimeter,site
